,testing 20 nodes,testing 40 nodes,testing 60 nodes,testing 80 nodes,AVG
crossover_proportion:0.1,89.0,89.0,88.0,87.0,88.25
crossover_proportion:0.2,75.0,73.0,72.0,71.0,72.75
crossover_proportion:0.3,62.0,64.0,55.0,59.0,60.0
crossover_proportion:0.4,65.0,49.0,51.0,48.0,53.25
crossover_proportion:0.5,25.0,33.0,39.0,32.0,32.25
crossover_proportion:0.6,15.0,44.0,45.0,39.0,35.75
crossover_proportion:0.7,44.0,31.0,22.0,37.0,33.5
crossover_proportion:0.8,0.0,6.0,29.0,23.0,14.5
crossover_proportion:0.9,33.0,0.0,21.0,19.0,18.25
crossover_proportion:1.0,12.0,20.0,19.0,9.0,15.0
