,testing 20 nodes,testing 40 nodes,testing 60 nodes,testing 80 nodes,AVG
exploration_prob:0.0,27.0,28.0,39.0,47.0,35.25
exploration_prob:0.02,19.0,34.0,40.0,21.0,28.5
exploration_prob:0.04,36.0,62.0,52.0,52.0,50.5
exploration_prob:0.06,41.0,49.0,33.0,40.0,40.75
exploration_prob:0.08,15.0,49.0,65.0,61.0,47.5
exploration_prob:0.1,53.0,60.0,36.0,38.0,46.75
exploration_prob:0.12,50.0,32.0,56.0,50.0,47.0
exploration_prob:0.14,60.0,35.0,21.0,59.0,43.75
exploration_prob:0.16,80.0,19.0,34.0,26.0,39.75
exploration_prob:0.18,5.0,42.0,55.0,41.0,35.75
