,testing 20 nodes,testing 40 nodes,testing 60 nodes,testing 80 nodes,AVG
population_prop:0.1,89.0,93.0,87.0,86.0,88.75
population_prop:0.3,74.0,76.0,72.0,68.0,72.5
population_prop:0.5,54.0,64.0,57.0,55.0,57.5
population_prop:0.7,53.0,41.0,50.0,48.0,48.0
population_prop:0.9,43.0,52.0,34.0,41.0,42.5
population_prop:1.1,9.0,39.0,33.0,47.0,32.0
population_prop:1.3,20.0,10.0,20.0,24.0,18.5
population_prop:1.5,0.0,4.0,52.0,14.0,17.5
population_prop:1.7,29.0,15.0,6.0,15.0,16.25
population_prop:1.9,26.0,33.0,24.0,14.0,24.25
