,testing 20 nodes,testing 40 nodes,testing 60 nodes,testing 80 nodes,AVG
population_prop:0.1,90.0,91.0,88.0,88.0,89.25
population_prop:0.3,79.0,74.0,61.0,68.0,70.5
population_prop:0.5,64.0,64.0,64.0,61.0,63.25
population_prop:0.7,34.0,52.0,53.0,49.0,47.0
population_prop:0.9,42.0,44.0,41.0,38.0,41.25
population_prop:1.1,28.0,39.0,37.0,31.0,33.75
population_prop:1.3,54.0,27.0,42.0,36.0,39.75
population_prop:1.5,15.0,17.0,22.0,26.0,20.0
population_prop:1.7,10.0,4.0,7.0,9.0,7.5
population_prop:1.9,12.0,31.0,14.0,16.0,18.25
