type,id_simulated,num_nodes,tour,cost,start,end,seconds
B&B,0,3,"[0, 1, 2]",442,2024-09-29 02:39:50.837643,2024-09-29 02:39:50.837690,4.7e-05
GA-P,0,3,"[2, 1, 0]",442,2024-09-29 02:39:50.837734,2024-09-29 02:39:50.840129,0.002395
GA-N,0,3,"[2, 1, 0]",442,2024-09-29 02:39:50.840178,2024-09-29 02:39:50.842079,0.001901
B&B,1,3,"[0, 1, 2]",706,2024-09-29 02:39:50.842124,2024-09-29 02:39:50.842160,3.6e-05
GA-P,1,3,"[2, 0, 1]",706,2024-09-29 02:39:50.842193,2024-09-29 02:39:50.843363,0.00117
GA-N,1,3,"[2, 1, 0]",706,2024-09-29 02:39:50.843399,2024-09-29 02:39:50.845282,0.001883
B&B,2,3,"[0, 1, 2]",581,2024-09-29 02:39:50.845333,2024-09-29 02:39:50.845365,3.2e-05
GA-P,2,3,"[2, 1, 0]",581,2024-09-29 02:39:50.845397,2024-09-29 02:39:50.847347,0.00195
GA-N,2,3,"[0, 1, 2]",581,2024-09-29 02:39:50.847383,2024-09-29 02:39:50.848556,0.001173
B&B,3,3,"[0, 1, 2]",605,2024-09-29 02:39:50.848595,2024-09-29 02:39:50.848625,3e-05
GA-P,3,3,"[2, 1, 0]",605,2024-09-29 02:39:50.848655,2024-09-29 02:39:50.850612,0.001957
GA-N,3,3,"[2, 1, 0]",605,2024-09-29 02:39:50.850648,2024-09-29 02:39:50.852458,0.00181
B&B,4,3,"[0, 1, 2]",587,2024-09-29 02:39:50.852497,2024-09-29 02:39:50.852525,2.8e-05
GA-P,4,3,"[2, 1, 0]",587,2024-09-29 02:39:50.852559,2024-09-29 02:39:50.854452,0.001893
GA-N,4,3,"[2, 1, 0]",587,2024-09-29 02:39:50.854489,2024-09-29 02:39:50.856284,0.001795
B&B,5,3,"[0, 1, 2]",399,2024-09-29 02:39:50.856346,2024-09-29 02:39:50.856377,3.1e-05
GA-P,5,3,"[2, 1, 0]",399,2024-09-29 02:39:50.856408,2024-09-29 02:39:50.858470,0.002062
GA-N,5,3,"[0, 1, 2]",399,2024-09-29 02:39:50.858513,2024-09-29 02:39:50.859695,0.001182
B&B,6,3,"[0, 1, 2]",544,2024-09-29 02:39:50.859807,2024-09-29 02:39:50.859861,5.4e-05
GA-P,6,3,"[2, 1, 0]",544,2024-09-29 02:39:50.859900,2024-09-29 02:39:50.861876,0.001976
GA-N,6,3,"[0, 2, 1]",544,2024-09-29 02:39:50.861917,2024-09-29 02:39:50.863202,0.001285
B&B,7,3,"[0, 1, 2]",133,2024-09-29 02:39:50.863282,2024-09-29 02:39:50.863314,3.2e-05
GA-P,7,3,"[2, 1, 0]",133,2024-09-29 02:39:50.863345,2024-09-29 02:39:50.865267,0.001922
GA-N,7,3,"[2, 0, 1]",133,2024-09-29 02:39:50.865304,2024-09-29 02:39:50.866417,0.001113
B&B,8,3,"[0, 1, 2]",595,2024-09-29 02:39:50.866455,2024-09-29 02:39:50.866485,3e-05
GA-P,8,3,"[2, 1, 0]",595,2024-09-29 02:39:50.866515,2024-09-29 02:39:50.868442,0.001927
GA-N,8,3,"[2, 1, 0]",595,2024-09-29 02:39:50.868478,2024-09-29 02:39:50.870234,0.001756
B&B,9,3,"[0, 1, 2]",725,2024-09-29 02:39:50.870273,2024-09-29 02:39:50.870302,2.9e-05
GA-P,9,3,"[2, 1, 0]",725,2024-09-29 02:39:50.870332,2024-09-29 02:39:50.872226,0.001894
GA-N,9,3,"[2, 1, 0]",725,2024-09-29 02:39:50.872262,2024-09-29 02:39:50.873993,0.001731
B&B,10,4,"[0, 2, 1, 3]",447,2024-09-29 02:39:50.874063,2024-09-29 02:39:50.874121,5.8e-05
GA-P,10,4,"[0, 2, 1, 3]",447,2024-09-29 02:39:50.874158,2024-09-29 02:39:50.877766,0.003608
GA-N,10,4,"[0, 2, 1, 3]",447,2024-09-29 02:39:50.877810,2024-09-29 02:39:50.880945,0.003135
B&B,11,4,"[0, 2, 3, 1]",679,2024-09-29 02:39:50.880995,2024-09-29 02:39:50.881054,5.9e-05
GA-P,11,4,"[3, 1, 0, 2]",679,2024-09-29 02:39:50.881092,2024-09-29 02:39:50.884366,0.003274
GA-N,11,4,"[3, 1, 0, 2]",679,2024-09-29 02:39:50.884408,2024-09-29 02:39:50.887568,0.00316
B&B,12,4,"[0, 1, 2, 3]",633,2024-09-29 02:39:50.887611,2024-09-29 02:39:50.887668,5.7e-05
